"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"62","61","1.6265774221","14.1926668382","26.4654185338","0.800","0.200"
"63","62","1.6265781545","11.7656919664","27.9609196820","0.800","0.200"
"64","63","1.6265781545","8.3981141255","22.9654178151","0.800","0.200"
"65","64","1.6265657034","20.7447567205","119.1468332530","0.800","0.200"
"66","65","1.6265708303","20.4691341654","93.7653715458","0.800","0.200"
"67","66","1.6265766897","19.4143497459","126.1511224960","0.800","0.200"
"68","67","1.6265749807","9.5451007366","25.4280881810","0.800","0.200"
"69","68","1.6265779104","9.4647833795","22.9654192587","0.800","0.200"
"70","69","1.6265815725","12.0948371059","23.9654212252","0.800","0.200"
"71","70","1.6265930471","56.6579042657","277.0666728670","0.800","0.200"
"72","71","1.6265801076","59.7195802852","277.0667312160","0.800","0.200"
"73","72","1.5934170217","14.8756287884","29.4653900956","0.800","0.200"
"74","73","1.6265635061","16.3270749557","41.3693873210","0.800","0.200"
"75","74","1.6265527639","166.4935684400","1542.9408459200","0.800","0.200"
"76","75","1.6265862112","272.9764198340","2618.4124734800","0.800","0.200"
"77","76","1.5985948684","279.6082793100","2644.1024761100","0.800","0.200"
"78","77","1.6266875295","812.1897819200","2746.4810349000","0.800","0.200"
"79","78","1.5985936477","7.7689757369","26.9655556236","0.800","0.200"
"80","79","1.6265757131","8.7663038202","25.4655036236","0.800","0.200"
"81","80","1.6265762014","9.1494591032","34.9637203460","0.800","0.200"
"82","81","1.6265456838","6.9195758856","25.9588537679","0.800","0.200"
"83","82","1.6265749807","7.8162510290","26.4654199845","0.800","0.200"
"84","83","1.6265278616","9.3627117250","34.4655168455","0.800","0.200"
"85","84","1.6265664358","9.2337311466","26.4618143539","0.800","0.200"
"86","85","1.6265647268","8.7813212099","28.4617846274","0.800","0.200"
"87","86","1.6265747366","48.5660269807","351.7391726430","0.800","0.200"
"88","87","1.6265754690","15.3016102929","34.4653016382","0.800","0.200"
"89","88","1.6266599416","29.2326354014","117.1576187410","0.800","0.200"
"90","89","1.5934314260","154.2758844710","1385.0963354200","0.800","0.200"
"91","90","1.6265764455","13.6306522201","26.4507579494","0.800","0.200"
"92","91","1.6265752248","276.4029955130","1877.3509563300","0.800","0.200"
"93","92","1.6265737600","27.0752022836","73.5882484648","0.800","0.200"
"94","93","1.6265735159","216.2429174210","1905.4241116200","0.800","0.200"
"95","94","1.5934280080","204.1788710190","1905.4241089300","0.800","0.200"
"96","95","1.6265556936","16.9551979797","34.9500237900","0.800","0.200"
"97","96","1.6265798635","46.3504758392","180.4443275290","0.800","0.200"
"98","97","1.6265383596","20.3868216031","89.5513765939","0.800","0.200"
"99","98","1.6265708303","16.5574014020","34.9629895540","0.800","0.200"
"100","99","1.6265798635","18.7783869939","34.9571470060","0.800","0.200"
"101","100","1.6265771780","73.9168698792","462.7234650370","0.800","0.200"
"102","101","1.6265639944","14.8345824673","27.9654137484","0.800","0.200"
"103","102","1.6265730276","17.9286367176","38.4629569104","0.800","0.200"
"104","103","1.6265644826","18.5250613111","34.4402361679","0.800","0.200"
"105","104","1.6265762014","15.1299897000","28.7875263329","0.800","0.200"
"106","105","1.6265622854","12.7531274131","24.9525966850","0.800","0.200"
"107","106","1.6265805959","42.4800757679","308.6078370150","0.800","0.200"
"108","107","1.6265632619","14.0564581527","28.9625601545","0.800","0.200"
"109","108","1.6265654592","28.2867322433","76.3917500677","0.800","0.200"
"110","109","1.6265771780","33.3338794442","153.4586257580","0.800","0.200"
"111","110","1.6265757131","20.6665710406","34.9601180240","0.800","0.200"
"112","111","1.6265542287","28.7529233213","149.8347082260","0.800","0.200"
"113","112","1.6265754690","28.7854411386","149.8347892800","0.800","0.200"
"114","113","1.6265593557","17.3900975834","34.9627556781","0.800","0.200"
"115","114","1.6265666799","18.9513752278","24.9488814396","0.800","0.200"
"116","115","1.6265586233","18.1300630863","34.9847825735","0.800","0.200"
"117","116","1.6265644826","37.4939498453","94.1645613478","0.800","0.200"
"118","117","1.6265715627","71.1289588106","386.2608746590","0.800","0.200"
"119","118","1.6265329885","24.8089572357","87.3843891531","0.800","0.200"
"120","119","1.6265854787","36.3281445435","245.2148971670","0.800","0.200"
"121","120","1.5933948049","17.4919151444","40.6463310665","0.800","0.200"
"122","121","1.6265620412","18.0821108566","22.9598053919","0.800","0.200"
"123","122","1.6265571584","17.0608783541","24.9654167483","0.800","0.200"
"124","123","1.6265569143","19.8901121634","34.9631481652","0.800","0.200"
"125","124","1.6265781545","15.3184571355","28.9610083823","0.800","0.200"
"126","125","1.6265774221","17.1204844962","28.4623309692","0.800","0.200"
"127","126","1.6265771780","13.7399140087","22.3067493631","0.800","0.200"
"128","127","1.6265703420","48.2502569604","154.2382207580","0.800","0.200"
"129","128","1.6265874319","64.6359910612","395.7138757800","0.800","0.200"
"130","129","1.6265752248","81.5120248134","365.7005826600","0.800","0.200"
"131","130","1.6265686330","13.7792262884","26.9547893417","0.800","0.200"
"132","131","1.6265698537","15.1337094217","25.9654493553","0.800","0.200"
"133","132","1.6265757131","13.6211994854","27.4654210187","0.800","0.200"
"134","133","1.6265515432","54.2170108815","446.2586207220","0.800","0.200"
"135","134","1.6265969534","13.3558206183","34.9580620969","0.800","0.200"
"136","135","1.6265078420","8.4090421581","34.9655998826","0.800","0.200"
"137","136","1.6265676565","18.3998194717","34.9323664005","0.800","0.200"
"138","137","1.6265766897","31.6293978686","77.2768918824","0.800","0.200"
"139","138","1.6265849904","39.8670308662","251.2318711890","0.800","0.200"
"140","139","1.6265791311","14.3990431234","31.4600285940","0.800","0.200"
"141","140","1.6265815725","24.1017387664","60.2663934027","0.800","0.200"
"142","141","1.6265283498","43.2333966534","304.1235507710","0.800","0.200"
"143","142","1.6265788869","28.7319787658","170.8714335430","0.800","0.200"
"144","143","1.6265913381","53.2134196157","285.2873850640","0.800","0.200"
"145","144","1.6265703420","12.9634011157","23.9595311609","0.800","0.200"
"146","145","1.6266274709","12.9961319257","23.8357202820","0.800","0.200"
"147","146","1.6266670217","11.0150877321","25.1610676735","0.800","0.200"
"148","147","1.6266887502","27.4260317863","147.2015982560","0.800","0.200"
"149","148","1.6266806936","13.1165275741","22.7728138108","0.800","0.200"
